id,name,origin,temperament,description,image_url,lifespan,weight,coat_type,grooming_level,tags
breed-034,Javanese,United States,"Affectionate, Intelligent, Playful, Social","The Javanese is a longhaired version of the Colorpoint Shorthair, accepted by the Cat Fanciers' Association as a separate breed. They are very active and vocal.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Javanese%20Cat%204.jpg,10 - 15 years,5 - 10 lbs,Long,Medium,"{affectionate,intelligent,playful,social}"
breed-035,Khao Manee,Thailand,"Curious, Active, Loyal, Friendly","The Khao Manee is an ancient breed of cat originating in Thailand. They are known for their pure white coat and odd-colored eyes, often one blue and one golden.",https://wopet.com/uploads/admin/image/20250630/352121c9ccc42c8ea1d22adf813a930b.png,10 - 12 years,8 - 10 lbs,Short,Low,"{curious,active,loyal,friendly}"
breed-036,Korat,Thailand,"Active, Loyal, Expressive, Trainable","The Korat is a silver-tipped blue-grey, short-haired breed of cat named after the Nakhon Ratchasima province in Thailand. They form strong bonds with their people.",https://www.purina.co.uk/sites/default/files/2022-06/Korat.1.jpg?h=d9eda887&itok=OLX5olO5,10 - 15 years,6 - 10 lbs,Short,Low,"{active,loyal,expressive,trainable}"
breed-037,Kurilian Bobtail,Russia,"Curious, Intelligent, Playful, Social","The Kurilian Bobtail is a cat breed originating from the Kuril Islands of Russia. Their most distinctive feature is their short, fluffy pom-pom tail.",https://cdn.shopify.com/s/files/1/0997/4496/articles/Kurilian_Bobtail_Cat_14679ff4-aa85-49a3-a008-8f13de1381c0.png?v=1730330244,15 - 20 years,7 - 15 lbs,Short/Long,Medium,"{curious,intelligent,playful,social}"
breed-038,LaPerm,United States,"Active, Affectionate, Gentle, Intelligent, Playful, Social","LaPerm is a rex breed, meaning it has a curly coat that is the result of a natural genetic mutation. They are affectionate, gentle, and love to cuddle.",https://cdn-images.vetstreet.com/dc/36/ee3fbfc34d718af43908fa927299/LaPerm-AP-AGGHMB-645sm3614.jpg,10 - 15 years,6 - 12 lbs,Curly,Low,"{active,affectionate,gentle,playful}"
breed-039,Lykoi,United States,"Active, Affectionate, Aggressive, Curious, Friendly, Intelligent, Playful, Social","The Lykoi, also called the werewolf cat, is a natural mutation from a domestic shorthaired cat that has a unique wolf-like appearance. They are curious and social.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Lykoi%20cat%202.jpg,12 - 15 years,6 - 12 lbs,Sparse,Low,"{active,affectionate,curious,playful}"
breed-040,Maine Coon,United States,"Affectionate, Intelligent, Playful, Gentle",Maine Coon is one of the largest domesticated breeds of cat. It has a distinctive physical appearance and valuable hunting skills. They are often called the dogs of the cat world.,https://headsupfortails.com/cdn/shop/articles/Maine_Coon_Cat_Breed_Guide_37867989-7b75-465d-be5a-e188f51e67d3.jpg?v=1754547063,12 - 15 years,10 - 25 lbs,Long,High,"{affectionate,intelligent,playful,gentle}"
breed-041,Malayan,United States,"Affectionate, Curious, Gentle, Playful","The Malayan is closely related to the Burmese. They share the same sable brown color but have a more moderate body type and are gentle, loving companions.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQaD2JbNXfQqihkRhMD_KSacoi9z-_EHg5BS8eIc5GL2dsiGdIr6mNie1gH&s=10,12 - 16 years,8 - 12 lbs,Short,Low,"{affectionate,curious,gentle,playful}"
breed-042,Manx,United Kingdom,"Affectionate, Intelligent, Loyal, Playful, Social","The Manx cat is a breed of domestic cat originating on the Isle of Man, with a naturally occurring mutation that results in a shortened tail. They are social and intelligent.",https://cdn-images.vetstreet.com/5d/60/fcf5ff6c43c78cc18cd0a338b0ce/manx-ap-6ssfgc.jpg,9 - 13 years,8 - 12 lbs,Short/Long,Low,"{affectionate,intelligent,loyal,playful}"
breed-043,Munchkin,United States,"Agile, Easy Going, Intelligent, Playful, Social","The Munchkin cat is characterized by its very short legs, which are caused by a naturally occurring genetic mutation. They are playful, people-oriented, and full of energy.",https://cdn.shopify.com/s/files/1/0311/9598/8101/files/Cute_orange_and_white_Munchkin_Cat_close_up_480x480.jpg?v=1607352663,12 - 15 years,5 - 9 lbs,Short/Long,Low,"{agile,easygoing,intelligent,playful}"
breed-044,Nebelung,United States,"Gentle, Quiet, Shy, Intelligent, Social","The Nebelung is a rare pedigree breed of domestic cat. Its name is derived from the German word for mist or fog. They are gentle, shy, and form strong bonds with their family.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Nebelung%20Cat%201.jpg,11 - 16 years,7 - 15 lbs,Long,High,"{gentle,quiet,shy,intelligent}"
breed-045,Norwegian Forest Cat,Norway,"Gentle, Independent, Intelligent, Lively","The Norwegian Forest cat is a breed of domestic cat originating in Northern Europe. They are adapted to a very cold climate, with a top coat of long, glossy hair.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Norwegian%20Forest%20Cat%204.jpg,14 - 16 years,13 - 22 lbs,Long,High,"{gentle,independent,intelligent,lively}"
breed-046,Ocicat,United States,"Active, Agile, Curious, Demanding, Gentle, Intelligent, Lively, Social",The Ocicat is an all-domestic breed of cat which resembles a wild cat but has no wild DNA in its gene pool. They are sociable and love human interaction.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Ocicat%201.jpg,10 - 15 years,6 - 15 lbs,Short,Low,"{active,agile,curious,intelligent}"
breed-047,Oriental,United Kingdom,"Energetic, Affectionate, Curious, Intelligent, Demanding",The Oriental is a breed of domestic cat that is developed from and closely related to the Siamese cat. They come in over 300 color and pattern combinations.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Oriental%20Short%20Hair%20Cat%201.jpg,12 - 15 years,6 - 12 lbs,Short/Long,Low,"{energetic,affectionate,curious,intelligent}"
breed-048,Persian,Iran,"Affectionate, Loyal, Gentle, Quiet, Docile","The Persian cat is a long-haired breed of cat characterized by its round face and short muzzle. They are known for their calm, gentle temperament and luxurious coat.",https://dbw3zep4prcju.cloudfront.net/animal/3cac1dd5-9d7c-4539-b390-cb46caa016ff/image/e745bd97-d4f4-45ae-b2ad-92ac8518e663.jpeg,10 - 17 years,7 - 12 lbs,Long,High,"{affectionate,loyal,gentle,docile}"
breed-049,Pixie-bob,United States,"Affectionate, Loyal, Social, Playful",The Pixie-bob is a breed of domestic cat claimed by breed founder Carol Ann Brewer to be the progeny of naturally occurring bobcat hybrids. They are devoted and dog-like.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Pixiebob%20Cat%201.jpg,13 - 15 years,8 - 17 lbs,Short/Long,Low,"{affectionate,loyal,social,playful}"
breed-050,Ragamuffin,United States,"Affectionate, Friendly, Gentle, Calm",The RagaMuffin is a breed of domestic cat. They are similar to the Ragdoll cat in appearance but have a wider variety of colors and patterns.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Ragamuffin%20Cat%204_0.jpg,12 - 16 years,10 - 20 lbs,Long,High,"{affectionate,friendly,gentle,calm}"
breed-051,Ragdoll,United States,"Affectionate, Gentle, Intelligent, Calm, Social",The Ragdoll is a cat breed with a color point coat and blue eyes. Their name refers to the tendency of individuals from the original breeding stock to go limp and relaxed when picked up.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Ragdoll%201.jpg,12 - 17 years,12 - 20 lbs,Long,Medium,"{affectionate,gentle,calm,social}"
breed-052,Russian Blue,Russia,"Affectionate, Gentle, Intelligent, Loyal, Quiet, Shy","The Russian Blue is a cat breed that has a distinctive blue coat and green eyes. They are known for their gentle, quiet nature and devotion to their families.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Russian%20Blue%20Cat%203.jpg,15 - 20 years,7 - 12 lbs,Short,Low,"{affectionate,gentle,intelligent,quiet}"
breed-053,Savannah,United States,"Active, Adventurous, Curious, Loyal, Intelligent, Social",The Savannah is a hybrid cat breed. It is a cross between the serval and a domestic cat. They are one of the largest domestic cat breeds and are very active.,https://dbw3zep4prcju.cloudfront.net/animal/8160d152-76e3-4c0b-bca7-6ce7992c522a/image/39f0bf9b-19f7-40b9-8f34-7eca0294112a.jpg?versionId=BxkWv4cR581z_tgFmQZDF_8hOp2wN5oZ,12 - 20 years,12 - 25 lbs,Short,Low,"{active,adventurous,curious,intelligent}"
breed-054,Scottish Fold,United Kingdom,"Affectionate, Gentle, Intelligent, Social","The Scottish Fold is a breed of domestic cat with a natural dominant-gene mutation that affects cartilage throughout the body, causing the ears to fold, bending forward and down.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3ygBG8wgP80rd4lP9oE2L4cb8EqostesReP8ad2lbZZInq0gMJGKdTQe5&s=10,11 - 14 years,6 - 13 lbs,Short/Long,Low,"{affectionate,gentle,intelligent,social}"
breed-055,Selkirk Rex,United States,"Active, Affectionate, Gentle, Lively, Loyal, Social","The Selkirk Rex is a breed of cat with highly curled hair, including its whiskers. Unlike other rex breeds, the Selkirk Rex gene is dominant and results in three types of coats.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Selkirk%20Rex%20Cat%201.jpg,10 - 15 years,6 - 16 lbs,Curly,Medium,"{active,affectionate,gentle,loyal}"
breed-056,Serengeti,United States,"Affectionate, Agile, Curious, Friendly, Intelligent, Lively, Social",The Serengeti is a breed of cat developed in the 1990s by crossing Bengal and Oriental Shorthair cats. They resemble a serval in appearance but are entirely domestic.,https://cats.com/wp-content/uploads/2020/10/kitten-Serengeti.jpg,10 - 15 years,8 - 15 lbs,Short,Low,"{affectionate,agile,curious,intelligent}"
breed-057,Siamese,Thailand,"Active, Agile, Clever, Sociable, Loving, Energetic",The Siamese is one of the oldest recognized breeds of domestic cat. Their most distinctive features are their blue eyes and colored points. They are extremely vocal and social.,https://cdn2.thecatapi.com/images/0XYvRd7oD.jpg,12 - 15 years,8 - 15 lbs,Short,Low,"{active,clever,sociable,energetic}"
breed-058,Siberian,Russia,"Active, Agile, Curious, Friendly, Intelligent, Loyal, Playful","The Siberian is a landrace variety of domestic cat that has been present in Russia for centuries. They are large, powerful cats with a dense, semi-longhaired coat.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Siberian%20Cat%201.jpg,11 - 15 years,10 - 20 lbs,Long,High,"{active,agile,curious,intelligent}"
breed-059,Singapura,Singapore,"Affectionate, Curious, Lively, Playful, Sensible","The Singapura is one of the smallest breeds of cats. They are known for their large eyes and ears, brown ticked coat, and blunt tail. They are curious and playful.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Singapura%20Cat%203.jpg,11 - 15 years,4 - 8 lbs,Short,Low,"{affectionate,curious,lively,playful}"
breed-060,Snowshoe,United States,"Affectionate, Docile, Lively, Playful, Social",The Snowshoe is a breed of cat originating in the United States of America in the 1960s. They are a combination of Siamese and American Shorthair traits.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Snowshoe%20Cat%202.jpg,14 - 19 years,7 - 14 lbs,Short,Low,"{affectionate,lively,playful,social}"
breed-061,Sokoke,Kenya,"Active, Curious, Friendly, Intelligent, Lively, Social",The Sokoke is a natural breed originating from the Arabuko Sokoke forest in Kenya. They are characterized by a modified classic tabby pattern on their coat.,https://www.gccfcats.org/wp-content/uploads/2021/09/Sokoke.jpg,15 - 20 years,5 - 10 lbs,Short,Low,"{active,curious,friendly,intelligent}"
breed-062,Somali,Somalia,"Active, Energetic, Independent, Intelligent, Gentle, Quiet","The Somali cat is often described as a long-haired Abyssinian. They are very active, playful cats known for their fox-like bushy tail and wild appearance.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Somali%20Cat%202.jpg,11 - 16 years,6 - 10 lbs,Long,Medium,"{active,energetic,independent,intelligent}"
breed-063,Sphynx,Canada,"Curious, Intelligent, Friendly, Affectionate, Loyal","The Sphynx cat is a breed of cat known for its lack of coat (fur). The Sphynx is known to be extroverted and energetic, with a high level of curiosity.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Sphynx%20%203.jpg,8 - 14 years,6 - 14 lbs,Hairless,High,"{curious,intelligent,friendly,affectionate}"
breed-064,Suphalak,Thailand,"Loving, Loyal, Curious, Friendly",The Suphalak is an ancient and very rare Thai breed with a solid copper or reddish-brown coat. They were mentioned in the Cat Book Poems from ancient Siam.,https://www.catster.com/wp-content/uploads/2023/11/suphalak-cat-in-bed_Nattakorn-Suphatheera_Shutterstock.jpg,10 - 15 years,8 - 10 lbs,Short,Low,"{loving,loyal,curious,friendly}"
breed-065,Tiger,Various,"Active, Alert, Assertive, Energetic, Intelligent",Tiger cats refer to domestic cats with a striped tabby pattern resembling that of a tiger. They are energetic and playful cats with a bold personality.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Toyger%20Cat%202.jpg,10 - 15 years,8 - 16 lbs,Short,Low,"{active,alert,energetic,intelligent}"
breed-066,Tonkinese,Canada,"Active, Agile, Curious, Friendly, Intelligent, Playful, Social","The Tonkinese is a domestic cat breed produced by crossbreeding between the Siamese and Burmese. They are active, social, and have a great sense of humor.",https://consumer-cms.petfinder.com/sites/default/files/images/content/Tonkinese%20Cat%20%201.jpg,10 - 16 years,6 - 12 lbs,Short,Low,"{active,curious,friendly,intelligent}"
breed-067,Toyger,United States,"Active, Friendly, Intelligent, Playful, Social","The Toyger is a breed of domestic cat, the result of breeding striped domestic shorthaired cats to create the impression of a toy tiger. They are friendly and intelligent.",https://cdn2.thecatapi.com/images/vJB8rwfdX.jpg,10 - 15 years,7 - 15 lbs,Short,Low,"{active,friendly,intelligent,playful}"
breed-068,Turkish Angora,Turkey,"Affectionate, Agile, Clever, Demanding, Friendly, Gentle, Loving, Social","The Turkish Angora is a breed of domestic cat. Turkish Angoras are one of the ancient, naturally-occurring cat breeds, having originated in central Anatolia.",https://spotpetinsurance.ca/_next/image?url=https%3A%2F%2Fimages.ctfassets.net%2Fm5ehn3s5t7ec%2Fwp-image-198686%2Fe9948a3cab18f4011906372002391cef%2FTurkish_Angora_Cat.jpg&w=3840&q=75,12 - 18 years,5 - 9 lbs,Long,Medium,"{affectionate,clever,friendly,loving}"
breed-069,Turkish Van,Turkey,"Active, Affectionate, Agile, Clever, Independent, Intelligent, Lively, Loyal",The Turkish Van is a semi-longhaired cat breed. They are known for their unique pattern of color on the head and tail on an otherwise white cat. They love water.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Turkish%20Van%20cat%203.jpg,12 - 17 years,10 - 20 lbs,Semi-Long,Low,"{active,affectionate,clever,intelligent}"
breed-070,York Chocolate,United States,"Active, Curious, Friendly, Playful, Social","The York Chocolate is an uncommon American breed of show cat, with a long, fluffy, chocolatey-brown coat. They are friendly, active, and enjoy following their owners.",https://cats.com/wp-content/uploads/2020/10/york-cat-1.jpg,13 - 15 years,10 - 16 lbs,Long,High,"{active,curious,friendly,playful}"
breed-071,Alpine Shorthair,Switzerland,"Gentle, Intelligent, Calm, Loyal",The Alpine Shorthair is a sturdy mountain breed known for its thick coat and calm nature. They bond deeply with their families.,https://consumer-cms.petfinder.com/sites/default/files/images/content/Exotic%20Shorthair%20Cat%201.jpg,12 - 16 years,8 - 14 lbs,Short,Low,"{gentle,intelligent,calm,loyal}"
